date,ndvi_mean,ndvi_min,ndvi_max,cloud_cover_pct
2026-01-18,0.226,0.211,0.234,27.309
2026-01-25,0.245,0.235,0.252,19.094
2026-02-01,0.253,0.247,0.263,12.796
2026-02-08,0.245,0.235,0.254,26.528
2026-02-15,0.269,0.256,0.277,13.289
2026-02-22,0.273,0.26,0.286,32.645
2026-03-01,0.267,0.255,0.29,17.414
2026-03-08,0.276,0.259,0.3,44.598
2026-03-15,0.284,0.272,0.299,42.075
2026-03-22,0.298,0.255,0.334,17.99
2026-03-29,0.342,0.331,0.352,16.37
2026-04-05,0.349,0.329,0.372,39.935
2026-04-12,0.349,0.303,0.395,17.455
