date,ndvi_mean,ndvi_min,ndvi_max,cloud_cover_pct
2025-05-04,0.394,0.366,0.437,37.359
2025-05-11,0.426,0.371,0.491,4.658
2025-05-18,0.545,0.516,0.587,22.347
2025-05-25,0.421,0.36,0.525,37.641
2025-06-01,0.438,0.384,0.489,20.865
2025-06-08,0.565,0.516,0.586,22.642
2025-06-15,0.602,0.56,0.627,20.701
2025-06-22,0.644,0.611,0.678,19.413
2025-06-29,0.686,0.663,0.701,16.226
2025-07-06,0.718,0.703,0.731,18.754
2025-07-13,0.701,0.693,0.709,16.113
2025-07-20,0.693,0.649,0.722,28.051
2025-07-27,0.658,0.642,0.687,21.208
2025-08-03,0.661,0.651,0.682,14.745
2025-08-10,0.677,0.65,0.692,9.227
2025-08-17,0.685,0.675,0.693,16.668
2025-08-24,0.648,0.632,0.674,17.432
2025-08-31,0.584,0.555,0.613,11.773
2025-09-07,0.541,0.497,0.578,17.498
