date,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_max,et0_fao_evapotranspiration,shortwave_radiation_sum
2026-01-13,9.6,1.1,0.8,83,1.31,7.71
2026-01-14,5.0,-7.3,4.4,93,0.67,3.64
2026-01-15,-5.6,-10.1,0.4,75,0.8,10.13
2026-01-16,1.9,-5.4,2.0,88,0.72,6.88
2026-01-17,-4.3,-11.1,0.1,74,0.65,8.01
2026-01-18,-7.6,-13.2,1.0,80,0.53,7.78
2026-01-19,-7.3,-17.6,1.4,87,0.48,10.79
2026-01-20,-6.4,-16.8,0.0,74,0.66,10.17
2026-01-21,-1.1,-6.2,2.0,78,0.81,8.65
2026-01-22,-2.1,-10.6,0.1,81,0.87,9.16
2026-01-23,-12.9,-23.0,0.0,61,0.48,11.49
2026-01-24,-12.0,-22.6,2.3,86,0.33,6.06
2026-01-25,-7.1,-14.6,5.5,89,0.4,5.05
2026-01-26,-14.1,-18.2,0.0,70,0.53,12.16
2026-01-27,-9.6,-15.1,0.0,74,0.64,11.26
2026-01-28,-9.8,-17.4,0.0,75,0.59,12.14
2026-01-29,-10.4,-17.0,0.0,72,0.62,11.98
2026-01-30,-6.4,-14.4,2.5,80,0.58,7.0
2026-01-31,-3.7,-11.9,3.0,88,0.48,5.8
2026-02-01,-3.9,-11.6,0.0,80,0.78,12.55
2026-02-02,-2.5,-5.8,0.3,88,0.51,6.3
2026-02-03,-2.3,-8.2,0.0,84,0.71,10.33
2026-02-04,-3.2,-8.8,0.0,90,0.44,5.9
2026-02-05,-2.2,-11.1,0.6,86,0.51,6.75
2026-02-06,2.0,-4.4,3.4,91,0.84,9.38
2026-02-07,-5.2,-10.9,0.1,73,0.91,12.11
2026-02-08,-2.9,-5.3,0.8,84,0.84,13.08
2026-02-09,2.0,-7.1,0.0,82,1.04,11.16
2026-02-10,7.8,0.9,0.0,80,1.62,12.46
2026-02-11,4.8,-2.8,0.0,80,1.43,13.31
2026-02-12,2.2,-2.8,0.0,86,0.75,6.63
2026-02-13,10.8,-2.8,0.0,89,1.72,13.26
2026-02-14,9.1,-0.9,0.0,87,1.27,10.5
2026-02-15,13.4,0.6,0.0,84,1.64,13.35
2026-02-16,16.5,2.2,0.0,90,1.97,13.16
2026-02-17,10.9,4.9,4.2,95,1.14,8.16
2026-02-18,15.8,8.1,1.9,96,2.62,14.34
2026-02-19,13.8,2.8,0.2,98,1.58,11.31
2026-02-20,7.2,-2.5,3.9,97,0.81,4.76
2026-02-21,-0.9,-3.3,0.5,76,0.84,6.13
2026-02-22,-2.5,-6.2,0.6,72,1.16,9.53
2026-02-23,-2.5,-6.7,0.0,78,1.05,10.36
2026-02-24,2.8,-7.4,0.1,84,1.4,10.09
2026-02-25,2.2,-2.0,0.0,74,1.58,15.7
2026-02-26,4.6,-4.8,0.0,80,1.19,11.15
2026-02-27,15.4,-1.0,0.0,90,2.35,15.84
2026-02-28,7.3,-2.2,0.0,80,1.39,11.04
2026-03-01,-1.4,-3.3,0.0,72,1.55,16.12
2026-03-02,3.0,-3.6,0.0,73,1.66,16.85
2026-03-03,3.0,-0.1,0.3,93,0.74,6.08
2026-03-04,4.2,-0.2,2.8,99,0.79,7.84
2026-03-05,7.9,3.4,1.0,100,0.67,5.05
2026-03-06,19.9,4.9,7.4,100,0.96,6.0
2026-03-07,17.1,4.4,6.5,97,1.12,6.27
2026-03-08,15.4,1.1,0.0,90,2.84,17.52
2026-03-09,21.0,8.7,0.0,89,3.52,17.57
2026-03-10,14.9,3.5,0.3,100,0.62,5.87
2026-03-11,5.2,1.7,7.6,100,0.64,4.57
2026-03-12,6.9,-0.6,0.1,84,2.17,18.23
2026-03-13,7.8,1.5,1.6,69,2.67,14.8
2026-03-14,2.2,-0.4,0.6,85,0.83,5.53
2026-03-15,16.5,1.2,41.6,95,1.51,6.24
2026-03-16,0.9,-6.3,5.3,93,0.98,12.55
2026-03-17,-4.8,-10.1,0.0,74,1.44,19.92
2026-03-18,6.3,-5.2,0.8,87,1.57,14.88
2026-03-19,10.8,0.4,2.3,91,2.24,18.94
2026-03-20,19.1,5.2,0.0,85,2.7,17.04
2026-03-21,20.0,3.7,0.0,89,3.21,16.87
2026-03-22,18.5,0.3,1.8,86,1.68,10.71
2026-03-23,2.5,-0.7,0.1,80,2.03,19.98
2026-03-24,8.8,-1.5,0.0,75,2.06,15.93
2026-03-25,20.0,3.8,0.0,68,3.96,19.24
2026-03-26,19.8,1.3,5.5,91,2.04,13.47
2026-03-27,3.3,-0.4,0.1,86,1.34,12.34
2026-03-28,8.0,-1.9,0.0,84,2.7,22.13
2026-03-29,16.3,4.2,0.0,68,3.53,17.76
2026-03-30,27.1,9.9,3.2,84,4.93,19.89
2026-03-31,20.7,4.0,5.9,97,2.08,7.07
2026-04-01,4.7,2.7,0.5,91,1.19,12.27
2026-04-02,20.0,3.9,26.1,97,1.39,7.63
2026-04-03,16.3,4.0,2.4,92,1.93,16.24
2026-04-04,15.6,5.2,10.5,96,1.34,7.52
2026-04-05,10.6,3.4,0.0,75,2.93,20.44
2026-04-06,9.9,1.8,4.3,93,2.38,18.25
2026-04-07,1.9,-1.1,0.0,83,2.28,23.7
2026-04-08,18.4,2.2,0.1,79,3.73,19.51
2026-04-09,20.1,8.2,3.8,85,4.23,21.27
2026-04-10,8.7,4.4,5.4,96,1.31,11.29
2026-04-11,11.4,2.5,0.0,93,2.54,20.78
2026-04-12,24.9,11.3,2.7,79,4.5,18.41
