date,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_max,et0_fao_evapotranspiration,shortwave_radiation_sum
2025-05-01,21.4,10.8,17.9,97,2.55,14.27
2025-05-02,13.8,7.3,0.9,97,1.8,14.59
2025-05-03,8.8,6.4,0.0,92,2.48,26.15
2025-05-04,10.1,6.3,5.7,94,1.5,11.43
2025-05-05,13.8,7.4,1.5,99,2.66,20.99
2025-05-06,22.5,8.4,0.0,98,4.32,26.21
2025-05-07,18.1,8.0,0.0,94,3.37,25.02
2025-05-08,11.9,6.7,0.0,94,3.18,27.14
2025-05-09,14.9,5.7,0.0,88,4.24,29.46
2025-05-10,22.0,9.0,0.0,69,4.62,27.79
2025-05-11,18.0,7.3,0.0,85,4.55,28.49
2025-05-12,21.8,11.9,1.1,80,4.81,25.47
2025-05-13,22.5,12.9,0.0,99,3.64,21.47
2025-05-14,21.0,11.9,0.0,98,2.99,18.04
2025-05-15,32.2,14.1,3.2,98,5.18,21.82
2025-05-16,29.5,17.9,0.6,60,7.83,27.43
2025-05-17,19.2,12.4,0.1,66,4.31,16.67
2025-05-18,14.8,8.2,0.0,85,3.06,21.33
2025-05-19,12.3,6.5,0.0,92,2.28,18.81
2025-05-20,13.8,9.3,22.2,96,1.52,8.58
2025-05-21,12.1,9.4,4.0,97,1.16,7.46
2025-05-22,11.5,8.6,0.9,92,2.22,16.38
2025-05-23,14.1,6.7,0.0,95,3.49,26.62
2025-05-24,13.9,7.4,0.0,92,3.8,27.62
2025-05-25,14.9,10.3,0.4,92,3.03,19.95
2025-05-26,15.6,8.6,0.0,84,3.99,28.4
2025-05-27,16.1,10.6,0.1,83,2.82,15.64
2025-05-28,15.0,10.3,9.8,98,2.22,15.44
2025-05-29,20.3,9.9,0.2,100,3.45,20.65
2025-05-30,25.5,11.8,2.7,90,4.96,23.09
2025-05-31,17.6,9.9,0.0,82,4.2,30.5
2025-06-01,16.4,8.4,0.0,80,4.58,30.25
2025-06-02,29.8,10.6,0.0,56,6.87,29.72
2025-06-03,31.8,20.0,0.9,74,7.55,24.45
2025-06-04,23.8,13.1,31.8,99,1.53,8.01
2025-06-05,18.0,10.8,0.0,100,3.3,24.65
2025-06-06,20.0,13.2,0.0,90,4.29,26.84
2025-06-07,20.5,12.6,0.3,89,3.76,21.96
2025-06-08,25.9,14.0,3.5,96,4.82,25.07
2025-06-09,22.1,13.4,8.9,84,4.57,26.09
2025-06-10,25.9,13.2,0.0,80,5.22,25.92
2025-06-11,33.1,17.1,0.0,74,7.45,28.65
2025-06-12,25.2,15.9,0.2,86,4.33,21.98
2025-06-13,21.9,15.4,2.5,97,1.89,9.58
2025-06-14,20.2,14.9,0.0,98,3.99,26.61
2025-06-15,23.9,14.4,0.0,94,4.65,27.06
2025-06-16,28.0,16.0,0.0,96,5.81,28.1
2025-06-17,33.5,21.1,2.7,91,6.39,26.99
2025-06-18,24.7,18.5,41.1,99,2.35,12.13
2025-06-19,25.7,18.7,9.3,96,4.38,23.34
2025-06-20,27.3,19.2,0.0,83,4.54,21.2
2025-06-21,33.2,23.5,0.0,79,7.0,28.56
2025-06-22,34.2,25.7,0.0,81,7.49,28.86
2025-06-23,35.6,25.9,0.0,71,7.99,28.58
2025-06-24,35.2,22.5,9.8,95,5.0,21.54
2025-06-25,26.0,20.9,2.8,99,3.97,21.91
2025-06-26,30.6,24.2,7.5,88,5.35,24.79
2025-06-27,29.3,23.5,2.0,86,4.91,23.18
2025-06-28,25.5,20.2,0.0,95,5.14,28.89
